,text,likes
82,"下面有網友說：
連汽車都投奔自由向東流，棄主人而去了，，
主人你有什麼可蓮ㄋ？
真逗！",2
83,不可思议，从来没有这样的洪水，原因何在？为什麽会有如此洪水，以前从来没有如此大的洪水，会不会是三峡大坝的问题？,1
84,淹得好,2
85,真的很慘！難受啊⋯⋯,1
86,阿弥陀佛🙏，愿一切好起来，世界和平,1
87,中国人再不觉醒，打倒邪恶中共，人祸还会有排受，正是可怜人必有可恨之处。,2
88,"那台汽車被洪水帶走的畫面很令人震撼，希望附近居民一切安好！

對岸政府對台灣做的一切固然令人憤怒，但人民無辜………希望至少台灣這邊不要再出現看熱鬧的酸性回覆！",17
89,4:13 頃の画像！。二階の訳の判らない処で、流されまいとして、必死にしがみ付いている上半身裸の男性、その後どうなったんだろうか？。助かってくれ！、と祈るばかり…。,1
90,我也很同情，但不会捐款了，因为我不知道曾经捐的款是不是给那些二奶们挥霍了。,1
91,成熟点！这是天災！不是什么政府所能控制的！,1
92,此处应该有小粉出来大喊，假的，假的都是假的，或者是我们是恩施的，我们怎么不知道~~~,1
93,採訪注意安全，人民有知到事實的權利,1
94,党哪里顾得上百姓的死活，你们只能自生自灭,1
95,感谢搜集珍贵的洪水素材，这种集合很喜欢。,
96,共產黨萬歲折磨老百姓第一厲害哈😄,1
97,又要多感謝党一次。🖕,
98,偉大的習主席在哪呢？,1
99,水壩还沒潰堤喔？再漲漲漲十米吧！天天期待中⛈️🌧⛈🌧️⛈️🌧⛈🌧️,1
100,被犧牲，但卻也對水流去哪沒得選擇,1
101,🙏🙏😭😭😭,
102,"中國大地被玩壞了🤔
大自然反撲加人禍😰",1
103,"平安無事 歲月静好
百姓歡歌 山川錦綉。",1
104,"感謝黨派解放軍來救災,人民真是感謝黨啊!",2
105,小粉紅一定恨版主恨得牙癢癢~呵呵,1
106,的確很凶猛！,
107,"在水中央有儷影一雙仿似畫在湖上
願終此生永跟她一對一雙
閃閃金光輕飛躍淡淡湖上
晚風吹過水鄉",1
108,"水淹天下..天災人禍..高官護權..悲憫百姓..欲哭無淚....
在民主國家政權早就翻地百次..坐立不安.....",1
109,以後一樓都不要住人或開商店,1
110,Thankyou so much,1
111,事不关己高高挂起😊岁月静好,
112,老百姓怎么办啊🙏🙏🙏,
113,受災戶都有補助吧！其實被淹水的都很開心可以換房吧！,
114,这视频是假的，没上抖音，快手,1
115,兩三百毫米淹成這樣？像台灣颱風來下雨上千毫米的怎麼辦！,1
116,好好好,
117,"日本也一樣淹大水，
但人民較安心，因為政府有輔助
補助機制，與安置災民的地方。
補助金、免費飲食。台灣政府與民間的救助只有更多不會少，甚至免費蓋房子給災民。",1
118,"切记:

山洪出现就不要走近分分钟会出现泥石流.见到河水涨和河水太快就不要过桥.桥梁会断的!",
119,"中國錢很多，汽車沖入河。
再買一台就好，沒事。",1
120,希望車上沒有人啊,1
121,"不报 瞒报 少报是我黨优良作风 

可防可控不怕，有黨在歲月靜好，反正14億人死不完的 
集体失忆？在大陆媒体中悄然消失的暴雨洪灾 但是看国内正规、权威的媒体机构所推送的新闻，又似乎压根儿就没有什么洪水，举国上下风平浪静。這跟本不是天災造成的,這水量跟本是人為的,別在過度開發,好好的珍惜這片土地!天災？無人敢問是人禍....",16
122,小粉紅：不可能的我黨天下無敵 怎麼可能有淹水呢？,1
123,"命名恩施當感天恩施
如今災劫禍國殃民族",
124,这么急的水流到哪里去了呢？,
125,"又來?
多少次了....恩迆都底是被泡多少次?
片段太多,又有點亂....",
126,習大大有冇睇到,
127,越治理 越危险 钱都被贪了,1
128,河水突然上涨，是上游泄洪吗,1
129,水也淹太高了吧…好恐怖,
130,恩施人太可怜,
131,"Remember !  Tenanmonn  天安門　　now  stand  up.and   start   everybody,  go to  the  future, do not  sacrifice,  honkon,  tibet,.,wuiguru, another  minority..you  can change,  you  ll  win  against  government of now",14
132,謝謝您的分享，請注意安全！,
133,气象大战的开始。,
134,"嘿…明明雨都不大

而且時間都過那麼久，早該排光了",
135,人禍但中共還在說是天災,1
136,"中國人不需要外界幫助

中國人自己可以解決",12
137,洪水滾滾汽車浮水！苦了民眾肥了車商！真慘啊！政府趕快發錢救災唄！,
138,这些都将成为历史最宝贵真实史料、多记录生活中最最实的点点滴滴 👏🏼👍🏼💕 🦋🦋🦋,
139,车船税无白交啊😂,
140,"中國還在炫耀新的遊戲器材。。。
根本沒當韭菜一回事",1
141,这是天灾🙏,1
142,ขอไห้ทุกคนจงปลอดภัยค่ะสาธุสาธุขอไห้เขื่อนทุกเขื่อนจงปลอดภัยค่ะ🙏🏼🙏🏼🙏🏼,
143,淹深一點沒有道德的病毒國家要滅掉,
144,今年对水灾国际和香港没人捐款，没有国际救援队， 不知道战狼粉红们怎么看？是不是某人外交策略的伟大胜利啊,1
145,讓我想到88風災,
146,可憐的都是百姓，共産黨員都在哪爽去了?,1
147,每輛車都有自己的故事   看著車被沖走   愛車人看了心很痛,
148,半夜偷偷放水！三峡,
149,二毛说14亿人很团结，叫他们捐钱账灾去！,1
150,洪水一夜暴涨，干枯的河水涨成这样，上游还不让上去，特警拦着，想想都知道上游在干嘛了,
151,敢言有助於同袍及時應對洪流我喜歡你們,
152,相信党！,1
153,母猪的故乡恩施普降甘霖真是棒,
154,希望一切快点过去,1
155,长江两岸一片沼泽，等我有钱了，一定要买张车票去东北抗洪抢险。如果嫌我年纪大了不用我。我可以亲自指挥，亲自部署。[憨笑],
156,"唉！中国老百姓，受苦了。
水已经淹到屁股，皇上，
皇爷们还自我感觉良好。",
157,"Awesome 😎 👍⚡️☠️ 
China is ashoe",1
158,繁華市，變汪洋，高樓閣，變泥崗！,
159,要證明洪災大害，就看今秋冬，食物價格，夠不夠糧食。,1
160,感謝有中文字幕！,
161,前排观🐸,
162,水流这么急，一定是上游水库在放水。这个是人祸，不是天灾。,8
163,為了保大城市，這一點犧牲，小事兒，難道你敢說黨的不是嗎 !!!,1
164,天佑人民,1
165,啊呀！黨國真偉大、乾涸江河一夜变汪洋、 不論災情如何 嚴重、傷亡數字、也不過是三三五五、 個位數字之內、確實揚威世界！ 最偉大的更是14億人口隨時為國家犧牲、也是榮耀！   凡此種種 .....全賴中共的领導、 辛苦了,1
166,"見到這情況，真是希望那邊的人無,受傷，但是有很多不知所謂的人幸災樂禍，冷血言論，真懷疑是不是人類！",
167,天佑百性,
168,下游可以撈錢，已經有人撈起上百萬。,
169,恭喜,
170,真療癒阿,
171,我亲自泄洪，亲自决堤。恩施人民要有一颗感恩的心！,1
172,"看那麼多留言，網友大都ㄧ面倒，無辜的百姓，無能慘敗的政府，只會靠ㄧ張嘴 ，又喜好功，哈哈哈
這下自己的國家怎麼不好整治救援。",1
173,早上突發的爆水 通常是半夜上游在放水,
174,这是谁说的让暴风雨来得更猛烈些吧？,
175,贱设三峡大坝就是为了 不让长江自由流动 ，续一个多月的水然后一次性发给湖北。,
176,美国也有洪水泛滥啊，日本也有海啸啊，我们这点水灾有什么值得大惊小怪的，洪水过后我们会更好。,
177,🙏💖🙏💝🙏💖🙏💝🙏💖🙏💝🙏🙏💖🙏💝🙏💖🙏💝🙏💖🙏💝🙏🙏💖🙏💗🙏💖🙏💝🙏💖🙏💝🙏🙏💖🙏💝🙏💖🙏💝🙏cố gắn lên,
178,天佑善良的中國老百姓，中共政府給點良心，要賠償這些辛勞一生的勤苦老百姓,1
179,天災真的是可怕,
180,都有錢一帶一路了，大陸共產黨多的是錢救百姓，要不把飛機賣了，換錢救百姓不是更好。,1
181,驚心動魄的畫面,
182,中共水利部，太易混了，收入一個小 干部，＂收入＂好過很多處级大官。又從不會 揹鍋。萬大事有小粉红出來頂，頂不到就說萬年一遇。水災一過又是找錢的好日子，修堤，築壩又是首要工程。,
183,国内抖音都没刷到过，太厉害啦。,
184,這在台灣，行政院長(總書記吧)都下台了,3
185,素食不殺生減少體內病毒的傷害跟是愛心的行為,1
186,大陸玩水就在家門口~~方便！,1
187,好像大陆官媒没有啊。,
188,如果真的大暴雨，你的鏡頭連對岸都看不见，現在都是清晰可見的。共惨党人為洩洪，不管你們的死活才是真相。,
189,我每天看头条，可是一条没有给我推送过有关南方洪水的信息，怎么回事,
190,看見後 心很痛 真的 善良的中國人為何多災多難？,1
191,最怕洪水退后产生疫情,
192,斷台灣邦交國大撒幣500億美金……看看今日中國慘況！,
193,果然是利害國，他們的車可以水陸兩用,
194,我見過泡水的車子，但從沒見過在水裡漂流的車子......,
195,"極端氣候變遷，絕對可刷新你的生活、你的視界。
這不是極端最大，這只是大自然反撲力量的預演⋯⋯",
196,這水也太大了吧,
197,救難人員只救妹子嗎😂😂,
198,其實，也就幾十上百萬人淹大水，其餘影響幾千萬人，沒事，這些人只是不惜一切的代價，就代價而已。,1
199,真的好夸张的洪水。怕怕,
200,水為財，這次發大財了。,
201,這影片可以播嗎，不會怎麼樣嗎🙄,
202,不拍正能量你小心被請喝茶,1
203,還有餘裕來繞台，這樣水應該可以再大一些！😕,
204,向救難英雄致無上敬意。,1
205,燃油機車還是世界上產生溫室氣體最少，汽車和電力(車)產生的溫室效應已經在眼前印證。,
206,"😅😂🤣
政腐把車升級為船了………………",
207,祈求 神保祐湖北。,
208,相信黨，要相信黨，更要相信黨。,1
209,上帝保佑他们平安！,1
210,越亂;更加多香港人覺醒;所以我現在支持毛澤東云的越亂越好,2
211,捐款就等同於犯罪,1
212,感謝偉大的中國共產黨，讓中國老百姓有機會看到這樣的‘’洪水‘’，大開眼界～,
213,報應 共產當,1
214,这哪里是什么天灾，分明就是人祸，人为泄洪导致的洪水。庆父不死，鲁难未已。CCP不灭，还有更多的灾难在后面。,1
215,好誇張，希望前線人員平安,
216,静观世间百态。笑看天下风云。,
217,習呢？,1
218,天要亡共匪,
219,Why government xi jing pin don't worry about his country rights?,1
220,"""管他洪水滔天 反正老子要移民 "" 這種想法的人太多了 導致世界上其他國家的人都在看笑話 ""媽! 快過來看 有人在自己吃飯的碗裡拉屎呢! 太搞笑了""",
221,恩施发水跟三峡大坝有关系吗？,
222,"支持共產黨 全國釣蝦場
尊崇習主席 災難永不息",1
223,托吊車業者發財了，黨讓你發財，你要回報黨,
224,一路哥幫你點擊下廣告與都要幫忙嘅人災難面前請伸出援手加油,3
225,日子過的跟蜜一樣的甜,
226,河水一夜暴涨，上游又不让上去，到底发生了什么？,
227,平時特色貪官、狗官們只顧收刮民脂民膏揮攉，不顧環保建設的惡果到來了，'往後的日子苦難的人民百姓咋過呵 !,2
228,有黨在不要怕聽黨的話有習在,
229,这要放封建社会，早就属于天怒人怨，老百姓组织起义推翻皇帝了。,4
230,這個是水都,
231,😭😭😭😭🤢🤢🤢🤢,
232,这有啥，我宜昌人，三峡工程就在我们这，一般冬天到江边玩的江岸到夏天河水能上涨2、30米，淹到路上来已经见怪不怪了。夏天能连续下一个月左右的雨，偶尔几次暴雨，水像瀑布一样，不是一滴一滴的雨，是连起来的，就那种用盆子泼水的感觉。少见多怪，生活在香港和国外的说着中文的人可能见的少了吧。不过今年别的地方下的太多了，长江沿岸其实还好。其他地方下的雨汇聚到长江就很难受了，大坝也拦不住。毕竟只有长江干流的大坝防护地比较好,1
233,很想可憐大陸人，但我真的做不到。多年前who那個嘴臉，多可惡，一句誰管你，讓我記得很清楚，現在我也想說誰管你啊…,2
234,"要相信党，不要给党添乱!

已经派人抢救了!",6
235,前所未見~天佑中國,
236,全部沖掉,1
237,大驚小怪,
238,"中國車市、家具要發大財了，
幾乎都淹光了！",1
239,放心啦 中國人有支付寶就滿足了阿 有支付寶 真先進 影片還有看到水陸兩用車 我們這些井蛙可真是羨慕死了,3
240,長江第3號洪水形成了 每秒6萬立方米的流量 按照這個流量台灣最大的水庫曾文水庫，2個小時就滿了。,4
241,無法修飾的中國,1
242,能不能别提暴雨，当心雷劈你。全部ccp做的孽，不要怪天。,
243,五毛言论:哪个国家没有水灾，没有地震?美国的疫情还死了几十万人呢。中国的受灾百姓永远是最少的，不接受任何的质疑和反驳。,1
244,悲哀，小粉紅，準備好大審判！,1
245,請問確定是下暴雨嗎？感覺是水壩洩洪～,
246,姑息養奸，因為中國人的姑息，才養出這種官員與政權，雪崩之下沒有一片雪是無辜的。,1
247,老百姓吃饭喝水上厕所怎么办的,1
248,"もう見たくない、悲劇ばかり。
天の怒りを買った",1
249,香港 九龍  新界  仝人恭喜發財  有請小鳳姐,1
250,天秀,
251,幸好這邊沒有接連非洲亞馬遜河，要不然魚類是很多，怕中國人捕魚不成，反變成魚類的食物來源。,
252,又放水了吗,
253,只是黨在灌溉韭菜，沒事沒事。,1
254,別怕，有黨在，一切都在可防可控中,
255,報應⋯,
256,中華民國首都台北今天也積水了😔,
257,該存在下去的是黨不是個人，黨的意志我懂,1
258,真不明白这里人的心態！一个天災变成了一群人说政治的地方！你们的人性同情心去哪里了？,
259,相信黨跟著黨走~~黨說多虧有三峽大霸所以這次災情只有六個失蹤~~呵呵~~牆內人還要繼續相信黨嗎?~~還是還沒被淹醒繼續相信?,
260,与天斗起落无穷，与人斗其韷（烦躁）无穷。三分天灾七分人禍。天作孽无话说，人作孽怎么受？ 唯有唱国歌：起来……,
261,好多魚哦。,
262,这雨不会造成这么严重的洪灾的，主要还是上面开闸泄洪的水患,
263,"水災害的破壞力驚人。求上天打救,人不能做什麼的!",
264,中國災難今年很多，看到也難過！！！,
265,"習近平德不配位,必降天災!",
266,這麽多水陸兩用水 乘風破浪而去。可能是去能昰去解放台灣,
267,天愤共匪 牵连百姓,
268,天佑中国的人民🙏🙏🙏,1
269,以這樣的降雨量.不可能會水災到這麼恐怖吧.,
270,中國這次水災車子沖掉不少啊？,1
271,习主席正在北方玉米地里，从来没有来南方洪灾看看。,
272,暴雨造成，一、兩天就水退沒事，不要搏同情，扮可憐。,1
273,"我很同情，但不會捐款，支國政府自已很有錢,又打壓香港~",1
274,祈求祖国同胞平安,
275,"不是不同情，
其實水退了也不必清啦～
反正還會再淹，
這種慘況竟然北京政府都沒有救濟物資，叫人民怎麼活呢?????",
276,這些微信看不到,
277,共黨不理人民的生死！🤐,1
278,祝福希望一切平安。,
279,水退後，立刻開始通水溝，鋪路。,
280,小粉紅 ：不就積水 大驚小怪的,1
281,天佑大陸地區長江上中下游人民百姓,
282,把房子车子路啊桥啊基建啊统统冲掉 才能搞重建 才能把GDP自欺欺人的搞起来账面上好看啊,1
283,要淹大水，四層樓深呀！快逃命去吧！,
284,恩施人民感谢党和政府吗,
285,擼袖幹擼袖幹,1
286,願全人類快覺醒,
287,都係果句！如果唔係肺痰！都仲有人幫！加上共狗對香港人台灣人做過咩！心照啦！自己攪掂啦！依家全世界都攪緊肺痰無人得閒幫你哋！同志們加油💪,
288,小事小事，習進平是神，偉大中國會遇水則發的。。,
289,年經影片。。。,
290,人于天地中似蝼蚁千万,
291,假新聞，小粉紅說那裡不淹水那裡不下大雨,1
292,0:10 太誇張了吧。,1
293,"央视的摄像头还在美领馆门口吗？可惜没有拍到美国人烧纸……但自己同胞的水深火热, 假装看不到，这是本质上的邪恶！",1
294,香港、天安門,
295,哪里有了共产党，那里人民必遭殃。,1
296,没有“母亲”的孤儿,
297,怕什么，可防可控,
298,你的分享很有价值。,1
299,歷史學者問：  衛大的當  不出來救援了？  9000 万啊。,
300,引擎過熱 下水泡一泡 下次開慢點就沒事了,1
301,"天災人禍自做自受
魑魅魍魎肇禍殃國",
302,洪災不知死多少同胞....可共匪都沒報導,
303,窮人家起來吧～起義號角已響起，你們還在等什麼？,
304,汽车被冲走找不到了，保险公司怎么赔？,
305,看到中國發生這種事本人內心真的是非常開心太感動了,1
306,其實這個台灣也有，請中國官員來台灣考察看台灣怎麼處理，台灣每年都有淹水，習慣就好了，能善後能預防才是好政府,1
307,三峡,1
308,整個大半中國都水患，34百萬輛的車被水淹泡了，水退後要修理的花費，到最後一輛修好，修車師父會累死。,2
309,老百姓們不用焦急、直升机飛錯南海方向、很快就回來救你们,
310,恩施在三峡上游吧，怎么这么多人说成三峡大霸放水放的呢,
311,生靈塗炭,
312,国内水灾严重 没人捐款谁之过 灾区同胞去找书记 找书记能解决问题 村的不行到镇里 镇不行去市里 我们不敢捐啊 捐了怕都给共匪发家致富了 自救吧,1
313,騙人的，又是1450的假新聞,1
314,一楼不知有多少人被困在家里淹死,
315,可憐了對岸人民,
316,海外爱国的中国人，年初武汉爆发病毒的时后，你们从海外买断所有的防疫物质，说那是爱国，现在应该回国，一人一口把水给喝完他！,1
317,天啊，請停停雨吧，別讓無辜的人受災,
318,这次玩很大，根本就不把中国人当人。太过分了。,
319,祈禱他們遠離水患,
320,当地西南官话你不说，非要在视频解说中讲蹩脚的北方游牧翘舌方言,1
321,中共人民怎麼沒拿釣竿去釣魚? 水是髒了點……免費的游泳池,1
322,对于共产党来说，清理是GDP，拆卸过水车是GDP，销售是GDP，全是GDP，大难大兴，小灾小旺，只剩下百姓的泪水打转，一生的积蓄全没了。,
323,中国梦何時能醒啊，一带一路撒出去的钱能整治多少大江大河啊，外交少撒币人民早就幸福安康啦，盗国贼们窃取的人民财产能让多少家庭重建家园啊。,
324,"♦提个建议：

这次洪灾，很大程度上是人祸！

看了谷歌地球，城区河道中为了弄景观，建了好几个滚水坝，还有水闸，还有河道中挖了一半的施工场地（2019年的卫星图，不知道现在那个工程弄好了没有），那些滚水坝让水流不畅，抬高了洪水位（滚水坝多高，就把洪水位抬高了多高），导致城区被淹！",
325,洪水是中共人的口水。 粉紅表示 可防可控,
326,中國人起來革命吧~~快被你們國家笑死，還強國咧!,1
327,車保險包不包   和如何證明,
328,Which movie,
329,習近平主席現在東北看玉米田是否豐收，很快就會到災區來看百姓受災情況，習主席來災區看到百姓損失慘重不知會不會撥款救助每位災民重建家園，習主習只說些官話安慰大家，百姓還是會感謝習主席，共產黨從百姓小時候就敎育百姓要為黨賣命，要為黨犠牲，才是愛國好百姓！,
330,洪水可防可控，聽黨指揮，能打勝仗！淹水不過一天，只後就是黨的奧援！GDP就是這樣淹出來的！,1
331,恩施黨委書記領導們哪裡去了?被洪水沖走了?,4
332,这么脏的水里，还敢站在里面？,
333,中国不是么有水灾,
334,不知是否上游有水庫調節河水？恩施的水不入三峽，但入宜昌下游，是嗎？大夥要去荊州撈車囉！,
335,假的！新聞聯播都沒放！終國人都看新聞聯播！,
336,爹親娘親不及党親、党一定想辦法救你们的、多用点內性、交通不方便、直升机又沒油、一定会想辨法去救民的、大家互相安撫一下吧！,
337,天譴。。。十五億黃禍每人少吃幾斤肉救救地球吧。,
338,果然有大國風範，連碰碰船都用，朋馳，寶馬，進口車，那麼高檔。,
339,恩施人民表示涝疫结合，情绪稳定。,
340,根本無三峽放水，無咁大洪水。,
341,为什么政府不救助，党粉红不批判,
342,看你的頻道以來這次最驚心動魄，整台車子被流走，祝福你節目越做越好，帶給我們第一手消息。,2
343,大水還在繼續不知道死亡人數怎麼統計出來的?,
344,盡量別涉水，那個水奇髒無比，臭水溝、化糞池、各種你想的到的廢水都混在一起了。,
345,"你們到底要沖掉多少垃圾去美麗的大海 ？？
雨天洩洪 …真的是白目官才會作的事 ………",
346,China become China Ocean,
347,電視新聞里天天正能量，對於災情輕描淡寫，習近平思想放光芒,
348,中国迈向成功之路，而且不换肩。,
349,舌尖上的中國可以改一下，這叫洪水上的中國,
350,又有幾萬人打水漂了，日子還沒到頭，慢慢歲月靜好吧。,1
351,意大利來的 不要製造假 可調可控,
352,大外宣一直拍武漢最高護堤安全處 釣魚吃喝歌舞旅遊華麗城市外觀 可以理解希望歲月靜好 但太可惡殘酷 這種自媒跟中共一家親的官媒 本質上沒有分別 極權政府拍手叫好,
353,黨尚在，不怕，習帝會保佑你們的。,
354,"1：38 一夜之間386 公分，

只因暴雨，當地人也相信這說法？",
355,英國終於取消1年7160萬英鎊（約27.6億台幣）對中共的無償援助，報應來了！,2
356,水坝是用來放水的，洪水是用來將中共沖到太平洋去的，我的祖國是用來唱的，中共人民的財産在洪水過後是彭嫲嫲曲在希望的田墅上。慶豐包子不是給中共人民吃的，三鹿毒奶黨會向中共人民推銷的，武漢瘟疫會隱瞞著向中共人民傳播的。,
357,"點解中共唔立法停止個天落雨呢.個班中常委咁九威,天都要聴佢地呀馬.強國波你古玩唄?",1
358,“恩施求党求施恩”，请对下联?,
359,黨幫你洗車還不謝煮隆恩,1
360,习近平呢  ？   你妈喊你去抗洪,
361,环球网 胡锡进 你们瞎了吗？有呼吁大家帮助他们吗？破坏中美 和西方的关系 你们可是出了大力气，颠倒黑白，断章取义 唯恐天下不乱。,1
362,"중공 이놈들 죽을날이
다했구나 인민을 이리두고
황제노름이 가당한가 ?,",
363,中國或成最大贏家,
364,活该啊   不值得同情,
365,有什么样的百姓就有什么样的政府，没啥奇怪的，你想打倒这个政府，其实这个政府是为了你们这些百姓而生，不要抱怨了，想想中国人都干了些什么，灾难从来都不是无缘无故的,
366,天哪，把暴雨下到广东来吧！或者下到我们镇也行，好久没下雨了，天天36 37度太难熬了。,
367,有人可以解釋為什麼這次中國的洪災範圍這麼廣、時間又這麽久？可憐了百姓、好不容易肺炎病毒得到控制、卻又遇上這場百年大災😢,2
368,感謝黨的領導，讓中國人進化成海上蛟龍，風雨無所阻，正面積極向上游，阿共表示，這些都是境外反華勢力在大作文章，那是台灣水患，暴雨成災，淹到了內陸的，是台灣害的,
369,别着急，大大去山西视察了大坑，刚刚又去东北视察了四平战役纪念馆，又给南美人民捐了10亿美金。等大大把这些事都忙完后，休息几个月，就会来看望大家的哈，会去揭开你家的锅盖看看里面有没有炖一只鸡。,
370,又是百年一遇，可是今年都遇n次了,1
371,真羨慕中國人的城市  出門就可以玩衝浪了,
372,前一個影片才剛退水，現在又來一次??,
373,微博捐了2次钱 但愿能到你们口袋里😓😓,1
374,四十年改革开放，每年如此洪灾，这建设真的是没得说。就好像说，解放了七十年，老区人民还生活在七十年前一样。不敢评论！！！,
375,哀悼中華人民、加油乗越天災害、天帝怒現中共政権、来変化滅王朝現在、志打倒共産党、人民全立民主化、応援世界中、加油,1
376,中国人民真幸福，不时都能体验个泄洪的。。爽啦!,
377,中国国内看不到，只有翻墙出来看才能了解，谢谢朋友们,1
378,大陸的主席忙著權鬥，中國人死了三億他們都不在乎。,1
